id,レシピ名,材料1,数量1,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,手順1,手順2,手順3,手順4,手順5,手順6,手順7,分量,ジビエポイント1,ジビエポイント2,奥越産食材ポイント,FIN
11,3.いのししで作ったハム　コアントロー風味のオレンジソースでダイコンと米粉のもちもちおやきを添え,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,おやきのもちもち感は米粉のおかげ。それに米粉を使うと生地も混ぜ合わせやすいです。,FIN
12,いのししで作ったハム,,,,,,,,,,,,,,,,,,,,,,,いのしし肉のコンフィを薄めにスライスする。,,,,,,,,,,,FIN
13,コアントロー風味のオレンジソース,白ワイン,50cc,オレンジジュース(100%),50cc,コアントロー(オレンジの香りのリキュール),20cc,,,,,,,,,,,,,,,,,白ワインを鍋に入れ火にかけ、1/4の量になるまで煮詰める。,オレンジジュースを加えて、さらに1/2になるまで煮詰めていき、最後にコアントローを入れて、火を止める。,,,,,,,,,,FIN
14,ダイコンと米粉のおやき,ダイコン,100g,米粉,30g,鶏がらスープ,1L,ダイコンの葉(細かく刻んだもの),適量,,,,,,,,,,,,,,,ダイコンは、皮をむいて2cm程度の厚さに輪切りにし、米のとぎ汁でやわらかくなるまで茹でる。さらに鶏ガラスープの中に入れて15分間ほど火にかけ、味をしみこませる。ダイコンを取り出し、冷ましておく。,ダイコンを木べらでつぶす。(つぶしすぎない方が食感を楽しめますが、なめらかな食感を好む方はしっかりつぶす。),2に米粉を加え、混ぜ合わせる。,さらに刻んだダイコンの葉を入れて混ぜ合わせる。,直径3～4cmほどの丸型に整形する。,オリーブオイルをひいたフライパンで焼く。,,,,,,FIN
15,4.いのしし肉と冬野菜のチャウダー風ポタージュ大だるまみそを隠し味に,お好みの野菜,,サトイモ、カブ、ニンジン、ダイコン,各50g,しいたけ、ホウレンソウ,各30g,青大豆(やわらかめにゆでておく),30g,コンフィにしたいのしし肉,100g,いのししのだし汁,適量(コンフィを作ると出てくる),牛乳,500cc,生クリーム,50cc,大だるまみそ,50g,たかのつめ,1個,にんにく,1片,サトイモ、カブ、ニンジン、ダイコンは皮をむいて1cm各に切る。しいたけは石づきを取り、1cm角に切る。ホウレンソウの軸は細かく、葉は1cm幅に切る。,コンフィにしたいのしし肉を5mm～7mmほどのさいの目切りにする。,にんにく、たかのつめをラードで炒める。香りがたってきたら、野菜を固いものから順に入れ、炒めていく。ただし、ほうれんそうは色がとんでしまうので、最後の仕上げの時に入れる。,3にいのししのだし汁を野菜がひたひたになるよう入れて火にかける。,野菜がやわらかくなったら、2を入れる。,牛乳を加えて煮立たせる。,ホウレンソウの葉を入れて、生クリームを入れ、大だるまみそを加えて煮溶かし、さらにぐつぐつとひと煮立ちさせる。,4人分,,,大だるまは大野在来の大豆で、外側がほんのり緑色をしています。甘みが強いので、おいしいみそになります。,FIN
16,5.鹿肉といのしし肉をコンフィした原木しいたけとのミルフィーユ赤ワインを煮詰めたソース,コンフィにした鹿肉といのしし肉,スライスしたもの3枚ずつ,しいたけ,2個,赤ワイン,25cc,,,,,,,,,,,,,,,,,しいたけは石づきを取って、バター焼きにする。やわらかくなるまで火を通しておく。,鹿肉といのしし肉はしいたけの大きさに合わせてカットし、薄くスライスする。,しいたけは半分に輪切りにする。,肉としいたけを交互に重ねる。しいたけ→鹿肉→いのしし肉→しいたけ→鹿肉→いのしし肉→しいたけ→鹿肉→いのしし肉→しいたけ,ソースを作る。赤ワインを鍋に入れて火にかけ、とろみがつくまで煮詰める。,,,1人分,,,原木しいたけは香りが強いのが特徴です。,FIN
17,いのしし肉のリエット,コンフィにしたいのしし肉,100g,ベーコン,50g,バター,50g,白ワイン,200cc,ブランデー,100cc,いのししの脂(コンフィを作るときに出てくる),30g,,,,,,,,,,,いのしし肉をベーコンと一緒に白ワインとブランデーで20分ほど煮込み、煮汁ごと冷ましておく。,1(煮汁ごと)とバターといのししの脂をフードプロセッサーにかけ、ペースト状にする。フードプロセッサーがなければ、すり鉢である。,,,,,,,リエットはイノシシの肉も脂も使っているので、旨みがとっても濃厚。,,,FIN
18,6.いのしし肉のリエットとゴルゴンゾーラの出会い　カブに詰めて大だるまみそとバターのソースで,いのしし肉のリエット,,カブ,1個(大きいものなら1/2個),ブイヨンまたは鶏ガラスープ,,大だるまみそ,5g,バター,50g,白ワイン,50cc,ゴルゴンゾーラ,10g,,,,,,,,,カブは皮をむき、鍋に入れてひたひたにブイヨンを加えてやわらかくなるまで煮込む。中にリエットを詰めるので、スプーン等で丸くくり抜いておく。,1にリエットを詰めて、上にゴルゴンゾーラをのせる。,ソースを作る。白ワインを1/4量になるまで煮詰めて、大だるまみそとバターを入れて溶かす。ソースが熱いうちにカブの上からかける。,,,,,1人分,,,味が淡白で甘みのあるカブ。いのしし肉の旨みとよく合います。,FIN
19,7.大野の冬野菜と白身魚のハーモニー　白菜で巻いてカリカリに炒った青大豆を散らして,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
20,冬野菜と白身魚のテリーヌ,白身魚(タラなど),500g,全卵,2個,むきエビ,500g,野菜(お好みのもの),,サトイモ,2個,ニンジン、ダイコン、カブ、ホウレンソウ(葉)、しいたけ,各30g,白菜(外側の青い部分は避けて),10枚くらい,青大豆(盛り付け用に),1人7～8粒,,,,,,,サトイモ、ニンジン、ダイコン、カブは皮をむき、しいたけは石づきを取って、それぞれ薄く切って塩をふりかけてしばらくおく。水洗いして塩をおとしてからみじん切りにする。ホウレンソウもみじん切りにする。,白菜は塩を2%程度入れて、やわらかめに茹でる。水にさらして冷まし、水気を切る。,白身魚の骨、皮を取り除き、ミキサーにかけてすり身にする。,3と全卵をボウルに入れてヘラでよく練り合わせる。(粘り気がでるまで),4に1を加え、さらにむきエビを細かく刻んで混ぜ合わせる。,アルミホイルの上に2を1枚ずつ、葉を破らないように並べる。その上に5を直径5cmくらいになるように円柱状に絞り、白菜が表面になるように巻いていく。(巻き寿司を作る要領で)※テリーヌ型があればより簡単にできます。,170℃のオーブンで1時間焼く。焼きあがったらオーブンから出し、粗熱がとれたら冷蔵庫に入れ、1晩おく。(アルミホイルを取らないでそのままなら約1週間保存可能),1本300g×5本分,,,,FIN
21,8.スイートコーンの濃厚チーズケーキ　コンポートにしたダイコンをブリュレに仕立てて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,冬はさらに甘味を増す大根。えぐみがないのでデザートにもなります。煮崩れしやすいものがむいています。,FIN
22,スイートコーンのチーズケーキ,クラッカー、バター、プレーンチーズ,,クリームチーズ,150g,スイートコーンピューレ,150g,グラニュー糖,100g,バニラエッセンス,少々,コーンスターチ,大さじ1,卵,2個,塩、粉チーズ,少々,プレーンヨーグルト,250g,,,,,型の内側にバターを薄く塗り、型をアルミホイル2枚で覆う。お湯を沸かしておく。,クリームチーズをレンジにかけ、練りやすいやわらかさにする。,ボウルに2とスイートコーンピューレをいれ、ホイッパーでやわらかく練り合わせる。,グラニュー糖、バニラエッセンス、コーンスターチ、卵(ときほぐしておく)、塩、粉チーズを順番に入れ、その都度よく混ぜる。,プレーンヨーグルトを加えてゴムべらで全体に混ぜる。,型に流し入れる。天板において、お湯を2cmほどはって、180℃のオーブンで45分焼いたら火を止めて、そのままオーブンの中に置いておく。,粗熱がとれたら、冷蔵庫に入れ、冷やし固める。,直系18smの丸型(底がはずせるもの)1台分,,,,FIN
23,大根のコンポート,大根,,赤ワイン,,砂糖,,グラニュー糖,,,,,,,,,,,,,,,,大根は皮をむいて2cmほどの輪切りにして、米のとぎ汁で煮てあくを抜く。,赤ワインと水(3:2の割合)で煮て、砂糖で甘味をつける。,提供するときに、グラニュー糖をかけてバーナーであぶる。,,,,,,,,,FIN
