id,献立名,献立1,献立2,kcal,塩分,野菜使用量,材料1,数量１,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,材料12,数量12,材料13,数量13,材料14,数量14,材料15,数量15,材料16,数量16,材料17,数量17,手順1,手順2,手順3,手順4,手順5,FIN
12,さばの味噌煮・ラッキョウ風味サラダ,副菜,ラッキョウ風味サラダ,75kcal,0.8g,75g,きゅうり,1本,大根,100ｇ,玉ねぎ,40g,パプリカ,40g,かぼちゃ,60g,豚もも薄切り,60g,片栗粉,適量,ラッキョウ酢漬け,8粒,酢,大さじ4,砂糖,大さじ2,薄口しょうゆ,大さじ1,ごま油,小さじ1,,,,,,,,,,,きゅうり・大根・たまねぎ・パプリカはせん切りにして水に浸し、パリッとしたらザルに取って水気をきる。,かぼちゃを5mm角に切り、電子レンジに5分かける。,豚肉は7mm幅に切り、塩・こしょうし、片栗粉をからませてゆで、水気をきる。,ラッキョウはみじん切りにし、酢、砂糖、しょうゆ、ごま油を加えてまぜる。,1・2・3まぜ合わせて器に盛り、4をかける。,FIN
13,さばの味噌煮・ラッキョウ風味サラダ,副菜,けんちん汁,95kcal,1.3g,65g,木綿豆腐,150g,ごぼう,50g,にんじん,50g,こんにゃく,40g,大根,100g,ねぎ,60g,だし汁,600cc,ごま油,大さじ1と1/4,酒,大さじ2,塩,小さじ1/2,しょうゆ,大さじ2/3,,,,,,,,,,,,,木綿豆腐は水気をきり、手でくずす。,こんにゃくは一口大にちぎり熱湯でゆでる,大根、にんじん、ごぼうは乱切りにする。,なべにごま油を入れ熱し、2と3を炒め、1も加えて炒める。だし汁を入れ煮立ったら、弱火にし7～8分煮て、酒、塩を加える。さらに、4～5分に煮て野菜がやわらかくなってきたらしょうゆを加え、小口切りねぎを入ひと煮立ちさせる。,器に盛りつける。,FIN
14,さばの味噌煮・ラッキョウ風味サラダ,デザート,フルーツヨーグルト,75kcal,,,プレーンヨーグルト,320g,りんご・キウイフルーツ,各100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,りんごはよく洗い、8つ割にし薄切り、キウイフルーツは皮をむき4つ割にし薄切りにしても、ヨーグルトであえる。,,,,,FIN
15,スタミナ牛丼・炒めなます,主菜,スタミナ牛丼,575kcal,1.1g,80g,ごはん,800g,牛肩ロース,200g,しめじ,160g,焼肉のたれ,大さじ4,サニーレタス,120g,ミニトマト,8個,,,,,,,,,,,,,,,,,,,,,,,サニーレタスは適当な大きさにちぎって、ミニトマトは半分に切る。,フライパンに牛肉としめじを入れて炒め、焼肉のたれとからめる。,ごはんを器に盛り、フライパンに残っているたれをごはん回しかけ、1と2を盛りつける。,,,FIN
16,スタミナ牛丼・炒めなます,副菜,簡単めかぶスープ,5kcal,0.4g,10g,中華スープ,400cc,塩,小さじ1/6,こしょう,少々,めかぶ,1パック,ねぎ,少々,,,,,,,,,,,,,,,,,,,,,,,,,中華スープ（水400cc＋中華スープの素小さじ1）を火にかけ塩、こしょうで調味する。,1にめかぶ、刻みねぎを加える。,,,,FIN
17,スタミナ牛丼・炒めなます,副菜,炒めなます,40kcal,0.8g,70g,大根,80g,にんじん,80g,しいたけ,4枚,きゅうり,80g,サラダ油,小さじ1,塩,少々,酢,大さじ2と2/3,しょうゆ,大さじ1,砂糖,大さじ1,たかのつめ,少々,,,,,,,,,,,,,,,野菜はすべて短冊切りにする。,酢・しょうゆ・砂糖を合わせておく。,フライパンに油を熱し。野菜を入れ塩を振って炒める。8分目ほど炒まったら2の調味料と好みでたかのつめを加え、味を調えて火を止める。,冷まして味をなじませる。,,FIN
18,スタミナ牛丼・炒めなます,デザート,さつまいものスイート,65kcal,0g,40g,さつまいも,160g,くちなしの実,少々,砂糖,小さじ1,きな粉,小さじ1,バター,小さじ1,,,,,,,,,,,,,,,,,,,,,,,,,さつまいもは厚めに皮をむき切る。,軟らかくなるまで煮て熱いうちにつぶす。（くちなしの実があったら割ってガーゼに包み入れる）,2に砂糖、きな粉、バターを加えてまぜる。,ラップで茶巾に絞る。,,FIN
19,鶏肉の塩麹焼き・青菜のごまあえ,主食,ごはん(150グラム),250kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
20,鶏肉の塩麹焼き・青菜のごまあえ,主菜,鶏肉の塩麹焼き,180kcal,1.1g,30g,鶏もも肉,320g,塩麹,20g,レタス,40g,パセリ,4g,レモン,2切れ,ミニトマト,8個,ノンオイルドレッシング,大さじ1,,,,,,,,,,,,,,,,,,,,,鶏もも肉は、皮にフォークで穴をあけておく。塩麹をまぶし15～20分置き下味をつける。,グリルで焼き、食べやすい大きさに切る。（フライパンで焼いてもよい）,野菜を洗い、水気をとって2に添える。,ノンオイルドレッシングをかける。,,FIN
21,鶏肉の塩麹焼き・青菜のごまあえ,副菜,かぼちゃのスープ,155kcal,0.6g,80g,かぼちゃ,1/4個（320g）,牛乳,120cc,鶏ガラスープ,100cc,生クリーム,大さじ4,塩,少々,こしょう,少々,,,,,,,,,,,,,,,,,,,,,,,かぼちゃは種をスプーンでとり、一口大に切る。,なべにかぼちゃを入れ、かぶるぐらいの水でやわらかく煮て、煮汁200ccが残るようにする。足りなければ水で調整し、つぶす。,火にかけあたためながら、牛乳、スープを加え、塩、こしょうで味をととのえ、生クリームを最後に加える。,,,FIN
22,鶏肉の塩麹焼き・青菜のごまあえ,副菜,青菜のごまあえ,35kcal,0.9g,70g,つまみ菜,240g,にんじん,40g,薄口しょうゆ,大さじ1,砂糖,大さじ1と1/3,すり白ごま,大さじ1/2,,,,,,,,,,,,,,,,,,,,,,,,,にんじんは4cm長さの千切りにし、さっとゆでる。つまみ菜はゆでて水気をしぼり1cmに切る。,ボウルに1を入れて、調味料を合わせたものを少しずつ加えてまぜ合わせ、ゴマを加える。,,,,FIN
23,鶏肉の塩麹焼き・青菜のごまあえ,デザート,果物,40kcal,,,オレンジ,2個,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
24,かぶのとろとろチーズ焼き,主食,ごはん(150グラム),250kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
25,かぶのとろとろチーズ焼き,主菜,かぶのとろとろチーズ焼き,175kcal,0.9g,105g,かぶ,中4個,鶏ひき肉,160g,みそ,大さじ3/5,プロセスチーズ,4枚（72g）,越のルビー,1個,かぶの葉（ゆで）,30g,オリーブオイル,適量,こしょう（粗びき）,適量,,,,,,,,,,,,,,,,,,,かぶを半分に切り、皿に並べラップをし電子レンジ（500W）で約3分加熱する。,みそと鶏ひき肉をまぜ合わせる。,蒸しあがったかぶの上に2の挽肉とチーズをのせ、チーズが溶けるまでオーブントースター（1000W）で約3分焼く。,皿に並べ、オリーブオイルをたらし、こしょう、ゆでたかぶの葉（ハーブでもよい）と越のルビーを飾る。,,FIN
26,かぶのとろとろチーズ焼き,副菜,青菜の白あえ,175kcal,1.2g,25g,木綿豆腐,1丁,白練りごま,大さじ1,砂糖（A）,大さじ4と1/2,塩,小さじ2/3,しょうゆ（A）,小さじ2/3,小松菜,1/2束,にんじん,60g,水,100cc,砂糖（B）,大さじ1/2,しょうゆ（B）,小さじ1/2,,,,,,,,,,,,,,,豆腐はゆで、ザルにあげ水気を切る。（電子レンジでもよい）,フードプロセッサーに1の豆腐をちぎって入れ白練りごま・砂糖（A)・塩・しょうゆ（A）を合わせた調味料を加え20秒くらい撹拌する。,小松菜はゆで、2cmの長さに切る。,にんじんは短冊に切り、耐熱皿に水・砂糖（B）・しょうゆ（B）と入れ電子レンジで5分ほど加熱する。,3と4を2であえる。,FIN
27,かぶのとろとろチーズ焼き,副菜,コンソメスープ,15kcal,0.9g,15g,玉ねぎ,1/4個,固形コンソメ,1と1/2個,バター,小さじ1/2,水,600cc,,,,,,,,,,,,,,,,,,,,,,,,,,,玉ねぎは薄切りにする。,鍋にバターを入れ溶けたら、1を加え弱火でしんなりするまで炒め、水を加える。,沸騰したら固形コンソメを加える。,,,FIN
28,かぶのとろとろチーズ焼き,デザート,果物,45kcal,,,みかん,4個,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
29,豆乳茶碗蒸し・おろしそば,主食,おろしそば,290kcal,1.7g,45g,ゆでそば,800g,大根,160g,ねぎ,12g,花かつお,2g,だし汁,800cc,しょうゆ,大さじ2と1/5,塩,小さじ1/6,みりん,大さじ1,,,,,,,,,,,,,,,,,,,大根は皮をむき、おろし器でおろす。,ねぎは小口切りにしておく。,器にゆでそば、大根、ねぎ、花かつおを盛りつける。食べるときにだし汁、しょうゆ、塩、みりんを合わせためんつゆをかける。,,,FIN
30,豆乳茶碗蒸し・おろしそば,主菜,豆乳茶碗蒸し,115kcal,0.8g,,鶏ささみ,60g,酒,大さじ4/5,えび,60g,かまぼこ,40g,干ししたけ,2枚,だし汁（A）,300cc,卵,2個,しょうゆ（A）,小さじ2/3,豆乳,200cc,だし汁（B）,50cc,みりん,小さじ1と1/3,しょうゆ（B）,小さじ2/3,片栗粉,大さじ1/2,みつば,4g,,,,,,,ささみは酒を振り、ラップに包んで電子レンジで加熱してほぐす。エビはゆでて皮を剥く。,干ししいたけはもどして薄く切る。,なべにだし汁（A）、卵、しょうゆ（A）、塩を加えてまぜ、ザルでこす。豆乳をまぜ合わせる。器にささみとかまぼこを入れ、豆乳などを混ぜ合わせたものを流し入れ蒸す。しばらく置いて固まったら、上にエビをのせる。,耐熱ボウルにあんの材料（だし汁（B）、みりん、しょうゆ（B）、片栗粉）を入れ電子レンジで2分加熱する。（途中で何回か混ぜてあんを作る。）,4に5のあんをかけて、みつばを飾る。,FIN
31,豆乳茶碗蒸し・おろしそば,副菜,野菜の酢豚風,170kcal,0.5g,155g,なす,200g,たまねぎ,140g,きゅうり,140g,トマト,140g,にんじん,40g,ピーマン,40g,厚揚げ,120g,にんにく,少々,しょうが,少々,酢,大さじ2,しょうゆ,小さじ1,みりん,大さじ1,トマトケチャップ,大さじ2,鶏ガラスープ,80cc,こしょう,少々,片栗粉・サラダ油,各小さじ2,揚げ油,適量,なすとにんじんは乱切りにして、素揚げにする。,他の野菜も乱切りにする。,トマトは種を取り一口大に切る。厚揚げも一口大に切っておく。,なべにサラダ油を熱し、にんにく、しょうがのみじん切りを入れ、2・3を加えて炒める。,最後に1と合わせ調味料（酢、しょうゆ、みりん、トマトケチャップ、鶏ガラスープ、こしょう）をを入れ、水溶き片栗粉でとろみをつける。,FIN
32,豆乳茶碗蒸し・おろしそば,デザート,果物,25kcal,,,りんご,1個,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIN
