id,レシピ名,材料1,数量1,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,材料12,数量12,材料13,数量13,材料14,数量14,材料15,数量15,材料16,数量16,材料17,数量17,手順1,手順2,手順3,手順4,手順5,手順6,手順7,手順8,分量,FIN
11,チキンカレー,鶏もも肉,1枚,にんにく,1/2かけ,たまねぎ,1個,にんじん,1/2本,じゃがいも（小）,2個,米粉,大さじ3,水,大さじ3,雑穀入りごはん,適量,（A）水,1カップ,ウスターソース,大さじ1と1/2,トマトケチャップ,大さじ1と1/2,しょうゆ,大さじ1,カレー粉,大さじ1,塩,小さじ1/4,ヨーグルト,大さじ1,,,,,鶏肉は皮をつけたまま3㎝角に切る。にんにくはみじん切り、たまねぎはいちょう切り、にんじんは小さめの乱切り、じゃがいもはたまねぎと同じくらいの角切りにする。,フライパンを温め、にんにく、鶏肉は皮を下にして入れ、きつね色になるまで焼き、裏も焼く。,鍋に2の鶏肉を入れ、1の野菜とAを加え、柔らかくなるまで煮る。,米粉を水で溶いて加え、とろみをつける。,器に盛ったごはんにかける。,,,,2人分,FIN
12,チヂミ2種,（生地（1種分））,米粉,（A）水,100cc,麺つゆ,大さじ1,卵,1/2個,塩,少々,（具1ごぼうとにんじん）ごぼう,100g,にんじん,50g,白ごま,大さじ1,ごま油,小さじ2,（具2牛肉）牛肉こま切れ,100g,ニラ,1/2本,白ごま,大さじ1,ごま油,小さじ2,（B）麺つゆ,大さじ1,酒,小さじ1,砂糖,小さじ1,コチジャン,小さじ1,（ごぼう・にんじんのチヂミ）ごぼう、にんじんは細めの千切りにする。,米粉とAを混ぜ合わせた中に、1とごまを入れよく混ぜる。,フライパンにごま油小さじ１を入れ、温めてから直径７?８㎝の丸型に薄くのばす。表面が薄く色づいたら裏返す。,さらにごま油小さじ１を加え、ヘラで押し付けるように形を整えてしっかり焼く。,（牛肉のチヂミ）牛肉は小さく切り、Bを入れて手でもみほぐす。しっかりと焼いて火を通す。,米粉とAを混ぜ合わせた中に、1と2とニラを入れ混ぜる。,フライパンにごま油小さじ１を入れ、温めてから直径７?８㎝の丸型に薄くのばす。表面に色がついたら裏返す。,さらにごま油小さじ１を加え、ヘラで押し付けるように形を整えてしっかり焼く。,4人分,FIN
13,米粉団子入り白菜スープ,（A）米粉,80g,白いはんぺん,大1枚,卵白,1個分,白菜,大2枚,にんじん,1/3本,（B）水,4カップ,鶏がらスープの素（顆粒）,大さじ1,米粉,大さじ2,水,大さじ2,塩、コショウ,少々,,,,,,,,,,,,,,,ボウルにAを入れ、耳たぶくらいの硬さになるまで手でよく混ぜ合わせて、約20個くらいの団子を作る。,白菜はそぎ切り、にんじんは皮引きでそぎ切りにする。,鍋にBを入れてその中に団子と野菜を入れ、しんなりするまで弱火で煮る。,同量の水で米粉を溶いて軽くとろみをつけ、仕上げに塩、コショウで味を整える。,,,,,4人分,FIN
14,かき揚げ,米粉,50g,薄力粉,50g,卵白,1個,水,150cc,たまねぎ,250g,にんじん,60g,ごぼう,50g,煮干し（小）,15g,さつまいも,50g,米粉,少々,揚げ油,適量,,,,,,,,,,,,,たまねぎは薄切り、さつまいもは１㎝角のスティックに切り、にんじん、ごぼうは千切りにし、米粉を全体にまぶしておく。,ボウルに卵と水を入れて混ぜ、米粉、薄力粉を加えて溶く。,1と2を混ぜ合わせ、スプーンなどでまとめて170度に温めた油に入れ、揚げる。,,,,,,2人分,FIN
15,ホウレンソウのあえもの,ホウレンソウ,150g,卵,1個,米粉,50g,にんじん,50g,ごま,少々,塩,少々,砂糖,少々,,,,,,,,,,,,,,,,,,,,,ボウルの中へ、卵、米粉、にんじんのすりおろしたものを入れ、混ぜ合わせる。,フライパンに油を引いて1を入れ、そぼろ状にする。,ホウレンソウをゆがいて切り、2と混ぜて塩と砂糖で味をつけ、ごまをふりかける。,,,,,,4人分,FIN
16,焼きあげのきのこあんかけ,厚あげ,1/2枚,（A）しいたけ,2枚,えのき,少々,しめじ,少々,ネギ,2/3本,にんじん,少々,しょうが,少々,塩、こしょう,少々,（B）めんつゆ,大さじ4,水,大さじ4,みりん,少々,米粉,大さじ1,水,大さじ1,青ネギ,5cm,,,,,,,厚あげは半分に切り、さらに厚みを半分にし、焼く。,Aの材料を細かく切り、しょうがは細めの千切りにし、炒めて塩、コショウで味付ける。,Bを温めて米粉でとろみをつけ、2に混ぜ合わせる。,焼きあがった厚あげに3をかける。,細かく切った青ネギを上に飾る。,,,,2人分,FIN
17,豆腐のあんかけ大根おろし添え,絹とうふ,1/2丁,米粉,適量,油,大さじ2,（A）めんつゆ,大さじ2,水,大さじ2,みりん,少々,米粉,大さじ1/2,水,大さじ1/2,パセリ,少々,大根,少々,,,,,,,,,,,,,,,とうふは水気を切り、２つに切り、さらに厚みを半分にし、米粉をまぶす。,多めの油で表面を焼く（揚げるように焼く）。,Aを温めて米粉でとろみをつける。,2に3をかける。,4の上に大根おろしをのせ、細かく切ったパセリをふりかける。,,,,2人分,FIN
18,照り焼きブリのもみじあんかけ,ぶりの切り身,2切れ,米粉,大さじ1,サラダ油,少々,しょうゆ,小さじ2,（もみじあん）にんじん,30g,水,大さじ2,砂糖,少々,塩,少々,ネギ,1/2本,米粉,大さじ1,水,大さじ1,,,,,,,,,,,,,ぶりに塩をして米粉大さじ１をまぶす。にんじん、ネギはみじん切りにする。,1のぶりをフライパンでサラダ油を少々ひいて、焦げ目をつけてからしょうゆをまわし入れて、弱火で焼く。,にんじんをやわらかくゆで、水、砂糖、塩で味をつける。,さらにネギを加え、水で溶いた米粉をまわし入れて、とろみをつける。,お皿に2のぶりを盛り付け、4のもみじあんをかける。,,,,2人分,FIN
19,さつまいもスープ,さつまいも,小1本,にんじん,15g,ネギ,1/4本,水,600cc,砂糖,少々,塩,少々,コショウ,少々,米粉,大さじ2,水,大さじ2,,,,,,,,,,,,,,,,,さつまいもを薄く輪切りにする。にんじん、ネギはみじん切りにする。,にんじんをやわらかくゆで、大さじ２杯くらいの水を残して砂糖、塩で軽く味をつけ、ネギを加えて火を止める。,さつまいもをやわらかくゆで、スピードカッターにかけてつぶす。,鍋に水、3のさつまいもを入れて火にかけ、温まったら、塩、こしょうで味を整える。,米粉を水で溶き、とろみがついたら火を止める。,器に盛り、2のにんじんとネギを上に飾る。,,,4人分,FIN
20,ミートソースグラタン,米粉,大さじ2,水,大さじ4,合びき肉,100g,たまねぎ（みじん切り）,1/4個（50g）,生しいたけ（みじん切り）,3枚分（50g）,オリーブ油,小さじ2,トマトソース（市販品）,150g（夏の収穫期トマトを煮てもよい）,塩・コショウ,各少々,里芋（またはなすなど季節の野菜）,300g,揚げ油,適量,ピザ用チーズ,小１パック（25g）,パセリ（みじん切り）,少々,バター,少々,,,,,,,,,鍋に肉、たまねぎ、しいたけ、オリーブ油を入れて火にかける。,1にトマトソースを加えて混ぜ、煮立ったら米粉を水で溶いて加え、とろみがつくまで煮る。塩・コショウで味を整え、ミートソースを作る。,里芋は輪切りにし、170℃の油でカラリと揚げる。,グラタン皿の内側にバターを塗り、2のミートソースの半量を入れて里芋を並べ、残りのミートソースを上から入れる。,チーズとパセリをふり、オーブン（220℃）でソースが煮立って焦げ目がつくまで焼く。,,,,4人分,FIN
21,勝山水菜ぎょうざ,（A）米粉,100g,ぬるま湯,1/2カップ,米粉（打ち粉用）,少々,勝山水菜,1株,塩・コショウ,少々,ごま油,少々,合びき肉,80g,（B）酒,小さじ1,しょう油,小さじ1,砂糖,小さじ1/2,ごま油,小さじ1,米粉,大さじ1,サラダ油,大さじ1,仕上げ用サラダ油,小さじ1,（C）酒、しょうゆ,各大さじ1,ラー油,少々,,,米粉にぬるま湯を加えてよくこね、10分間蒸す。,10等分にし、打ち粉（米粉）をしてめん棒で薄く丸くのばし、ぎょうざの皮を作る。,勝山水菜は軽く塩ゆでし、水にさらしてからみじん切りにし、しぼって水気を取る。フライパンにごま油をひき、軽く炒め、塩・こしょうで味付けし、あら熱を取る。,ボウルに合びき肉、3、Bの調味料を入れてよく練り、米粉を加えてさらに混ぜる。,10個の小さなボール状にし、2の皮で好みの形に包む。,フライパンにサラダ油を熱して、5を並べ、湯1/2カップを注いでふたをして中火で４?５分間蒸し焼きにする。水気がなくなったらふたを取り、サラダ油を回しかけて焼き色がつくまで焼く。,Cのタレをつけていただく。,,2人分,FIN
22,カリカリごぼう,ごぼう,小1/2本,米粉,適量,揚げ油,適量,塩,少々,,,,,,,,,,,,,,,,,,,,,,,,,,,ごぼうはピーラーで細く切り、酢水にさらす。,水気を切ったごぼうと米粉をビニール袋に入れて振り、ごぼうに米粉をまぶす。,高めの温度に温めた油に②を入れ、カリッと揚げて熱いうちに塩を振る。,,,,,,2人分,FIN
23,大根もち,米粉,150g,干しえび,10g,干ししいたけ,4枚,大根,300g,塩・コショウ,少々,水（しいたけの戻し汁も含める）,1/3?1/2カップ,サラダ油,大さじ1,長ネギ（白い部分）（ちくわ、かまぼこなど千切りにして入れてもよい）,15g,（たれA）豆板醤,小さじ1/2,砂糖,小さじ1,酢,大さじ1,（甘酢あんB）,砂糖,,酢,,米粉,,,,,,,干しえびはビニール袋に入れて細かくする。干ししいたけは水で戻し、みじん切りにする。,大根は５㎜幅の千切りにし、耐熱ガラスボウルに入れ、ふんわりとラップをしてレンジで４分間加熱する。,2のボウルに1と米粉と塩・コショウを加えて混ぜ、水1/3カップも加えて手でひとかたまりにする。（生地に米粉が白く残るようなら、水を少し入れてまとめる。）,流し箱の内側に薄くサラダ油（分量外）を塗って3を入れ、表面にラップをして平らにする。,蒸気のあがっている蒸し器に入れて10分間蒸す。,型から出して６等分し、フライパンにサラダ油を熱し、表も裏も側面もきつね色に焼く。,たれ・甘酢あんで食べる。,,6人分,FIN
24,煮リンゴのあんかけ,リンゴ,1個,米粉,大さじ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,リンゴをよく洗って、皮付きのまま４つ切りか６つ切りにして芯を取り除く。,切ったリンゴを鍋に入れ、かぶるくらいの水で煮る。,やわらかくなったらリンゴの皮を包丁ではぐ。,残った煮汁を再び火にかけて、水で溶いた米粉を回しいれてとろみをつける。,りんごを皿に盛りつけて煮汁を上からかける。,,,,2人分,FIN
25,さつまいもケーキ,さつまいも,150g,米粉,100g,砂糖,60g,バニラエッセンス,少々,ベーキングパウダー,小さじ1,卵,2個,バター,20g,牛乳,70cc,,,,,,,,,,,,,,,,,,,さつまいもをかた茹でし、皮をつけたままサイコロ切りにする。,ボールに砂糖、卵を入れ、よく混ぜ、米粉、牛乳、バター、ベーキングパウダー、バニラエッセンスを加え、さらによく混ぜる。,型にさつまいもをぱらぱらに敷き、生地を流し入れ、さつまいもをのせる。,オーブンで、180℃35分間焼く。,,,,,4人分,FIN
26,えごまシフォンケーキ,（A）米粉,70g,えごまパウダー,20g,ベーキングパウダー,小さじ2,卵黄,3個分,えごま油,大さじ4,牛乳,50cc,砂糖,大さじ2,（メレンゲ）卵白,4個分,グラニュー糖,60g（大さじ4）,炒りえごま,少々,,,,,,,,,,,,,,,Aをふるいにかけておく。,ボウルに卵黄と砂糖を白っぽくなるまで泡立て、1を入れ、なめらかになるまで混ぜる。,卵白を泡立て、少しずつグラニュー糖を加え、しっかりとしたメレンゲを作る。,2と3を少しずつさっくりと混ぜ、均一になるようにする。,4を型に入れ、型を軽くたたいて中の気泡を抜き、上に炒りえごまをふり、170℃のオーブンで30?40分間焼き、逆さまにしてよく冷ます。,好みにより、粉砂糖、生クリーム、果物などでデコレーションする。,,,20cm型,FIN
27,ごまパン,米粉（製パン用）,150g,砂糖,10g,食塩,3g,バター,10g,ドライイースト,3g,黒ごま,大さじ1,水,150ml,卵黄,,,,,,,,,,,,,,,,,,,,ボウルに米粉、砂糖、食塩、バターを入れ、指先でバターをつぶしながら均一になるまでよくすりまぜる。,ドライイーストに水100㏄を加えて溶かしておき、1の粉の周辺部円を描くように流し入れ、周辺部から真ん中に向かってゴムべらで混ぜ合わせる。（成型できないやわらかい生地になる。）残りの水をかげんしながら入れる。,バター（分量外）を塗った型の中に流し込み、発酵させる（発酵機能のあるオーブンで、または冬場なら暖かい部屋で４?５時間おく）。,1.5倍位に発酵したら、160℃に温めたオーブンで約40分間（表面に焼き色がつくくらいが目安）焼く。,焼き上がる直前に卵黄を塗ってオーブンに戻し、焼き上げる。,,,,8㎝×14㎝のパウンド型１個分,FIN
28,米粉アイス,米粉,大さじ2,砂糖,大さじ3,豆乳,1/2カップ,生クリーム,1/2カップ,卵白,1個,,,,,,,,,,,,,,,,,,,,,,,,,鍋に米粉と砂糖を入れて混ぜ合わせ、豆乳を加えて混ぜ、火にかける。絶えず混ぜながら中火で煮る。クリーム状になったら火を止め、冷ます。（クリーム状になりかけるとすぐダマになるので、注意）,ボウルに生クリームを入れ固く泡立てる。（氷水を入れたボウルで冷やしながらする）,別のボウルに卵白を入れて固く泡立てる。,1、2、3を加えて混ぜ合わせ、ふた付きのプラスチック容器に入れて冷凍庫に入れ、１時間おきにスプーンで混ぜて空気を含ませ（２?３回）、アイスクリーム状にする。,,,,,4個分,FIN
29,お手軽えごま団子,米粉,200g,ぬるま湯,180cc,きな粉,,あん,,えごま・ごま,,,,,,,,,,,,,,,,,,,,,,,,,,米粉にぬるま湯を少しずつ加え、耳たぶほどのかたさによくこねる。,小さくまるめ、中央にくぼみをつける。,大鍋に湯を沸かし、3を入れる。,浮いてきたら取り出し、好みできな粉、あん、えごまなどを付ける。,,,,,10人分,FIN
30,里芋入り3色だんご,里芋（洗い子）,200g,米粉,100g,味付けあん（塩・砂糖）,,きなこ,,ごま,,,,,,,,,,,,,,,,,,,,,,,,,,里芋をやわらかくなるまで塩ゆでする。荒熱を取り、つぶす。,米粉を加えてよく混ぜ合わせ、丸めて３つずつ串にさす。,沸騰している湯の中に入れ、浮いてきたらしばらくしてあげる。,水気をよく切り、味付けあん、きなこ、ゴマ等にからめる。,,,,,6本分,FIN
31,里芋のおやき,里芋（洗い子）,500g,米粉,150g,塩,小さじ1と1/2,あん,適量,黒ごま,少々,ぬるま湯,少々,,,,,,,,,,,,,,,,,,,,,,,里芋を２㎝角に切り、レンジで７分間かけ、やわらかくする。,1の里芋と米粉と塩をあわせてスピードカッターで混ぜる。,レンジに３分間加熱する。（生地が滑らかになるまで繰り返す。）生地が固いようならぬるま湯を加える。,40?50gの大きさに丸め、クッキングシートの上で直径７?８㎝に伸ばす。,4の中にあんを入れて包み、表面に黒ごまをふる。,余熱したグリルで約7分間、表面に焼き色がつく程度に焼く。,,,16個分,FIN
32,米粉のおやき1,（生地）米粉,300g,もめん豆腐,30g,ベーキングパウダー,小さじ3,塩,小さじ1,ぬるま湯,450cc程度,サラダ油,小さじ2弱,（具）きりぼし大根煮,切り干し大根を戻し、しょうゆ、砂糖、酒、みりんを加えて煮、水分を絞る。,穴馬かぶら漬け煮,かぶらの漬物（塩分が濃い場合は塩出しする）を湯がいて水気を切り、油で炒めてしょうゆ、砂糖、酒、みりん、昆布、とうがらしを入れて煮詰める。,かぼちゃ煮,かぼちゃをさいの目に切り、ひたひたの水で砂糖、塩を加え、水分がなくなるまで煮る。,まいたけ煮,まいたけを小さく裂いて、しょうゆ、砂糖、酒、みりんで味付けし、煮詰める。,,,,,,,,,,,,,,,もめん豆腐を蒸して冷ます。しぼって水分をとる。,ボウルに米粉、ベーキングパウダーを入れ、ぬるま湯を加えてかきまぜる。なじんでから①を入れる。耳たぶの固さになるようにぬるま湯の量を加減しながらこねる。,さらにサラダ油を入れてこね、ラップをして30分間ねかす。,10等分にして平らにのばし、具を入れて包んで、蒸し器で10分間ほど蒸す。,フライパンで両面に焼き色をつける。,,,,10個分,FIN
33,米粉のおやき2,（生地）米粉,100g（製パン用がいい）,牛乳,85ml,バター,小さじ2（8g）,塩,小さじ1/5（1g）,砂糖,大さじ1（9g）,ドライイースト,小さじ1,打ち粉用の米粉,（適量）,（具A）野沢菜漬け（葉の漬物）,100g,みそ,小さじ1/2,サラダ油,大さじ1,（B）りんご,100g,はちみつ,大さじ1,レモン（みじん切り）,5㎜の輪切り1枚分,サラダ油,大さじ1,,,,,,,耐熱樹脂ボウル（直径約14㎝）に牛乳、バターを入れ、ふたをしないで電子レンジで20秒間人肌（約35℃）程度に加熱する。,泡立て器でバターを溶かし、塩、砂糖を混ぜ、ドライイースト、米粉の1/3量を加え、泡立て器でなめらかになるまで混ぜる。,残りの米粉を加え、全体がひとかたまりになって粘りが出るまで、はしでぐるぐる混ぜる。ふたをしないで電子レンジ弱で30秒加熱する。,レンジから取り出して、はしでもうひと混ぜし、もっちりとした生地に仕上げる。,打ち粉をしたまな板に生地をゴムべらでとり出し、上下を返す。（全体に打ち粉をつけるため）,めん棒で直径6㎝位の円にのばす。,生地に具をのせ、まわりの生地をひっぱりあげながら、中央に寄せて合わせる。,フライパンにサラダ油を熱し、合わせ目を下にして並べる。ふたをして、中火で４分焼き、裏返して弱火で4分間位焼く。,10人分,FIN
34,肉まん・あんまん,（生地）米粉のおやき1の生地を使う,（バターのかわりにサラダ油を使う）,（具A）豚ひき肉,10g,長ネギ（みじん切り）,10cm,キャベツ（3cmの長さの細切り）,,しょうゆ,小さじ1,塩,小さじ1,片栗粉,大さじ1,（B）小豆あん,,,,,,,,,,,,,,,,,,,,生地は米粉のおやき1の手順で作る,めん棒で直径８㎝位の円にのばす。,生地に具をのせ、まわりの生地をひっぱりあげながら、中央に寄せて合わせる。,耐熱皿にクッキングシートをしき、合わせ目を上にして並べ、ラップなしでレンジ弱で30秒程度加熱し、蒸気の上がっている蒸し器にシートごと入れ、弱火で8分間蒸す。,,,,,6個～8個分,FIN
35,笹団子,もち米,1.8kg（1升）,上新粉,1kg,水（ぬるま湯）,約800cc,片栗粉,少々,小豆あん,,小豆,4合,砂糖,400g,塩,6g,笹の葉,70～80枚,,,,,,,,,,,,,,,,,あんこを少し堅めに炊き、小さく丸めておく。,上新粉に水（ぬるま湯）を足しながら、耳たぶの柔らかさになるまでこね、12個程のだんごに丸める。,もち米を一晩水につけておいたものをセイロに入れて、その上に2のだんごを、隙間があるように並べて蒸す。,蒸しあがったら、だんごともち米と水溶き片栗粉を混ぜて「もちつき機」か「臼」でつく。,つきあがったら、60g程度ずつ丸め、1のあんこを入れ包み、笹でくるむ。,,,,約70個分,FIN
36,笹餅,上新粉,150g,砂糖,大さじ2,水,120cc,小豆あん,,抹茶,小さじ2,笹の葉,,,,,,,,,,,,,,,,,,,,,,,,ボウルに上新粉、砂糖を入れ、水を少しずつ加えながらよく混ぜ、耳たぶくらいのかたさにする。,１個30gぐらいの大きさに丸め、クッキングシートの上で直径7?8㎝に伸ばし、あんを入れて包む。,蒸し器で10分間蒸す。,蒸しあがったら、笹の葉１枚に１個を包む。,,,,,8個分,FIN
37,ちまき,上新粉,150g,水,100～150cc,きな粉,適量,笹の葉,40枚くらい,いぐさ,8本,,,,,,,,,,,,,,,,,,,,,,,,,上新粉に水を少しずつ加えながらよく混ぜ、耳たぶより少し固めにする。,1を8等分に切り、笹の葉にくるみ、いぐさで結ぶ。（大きい葉なら3枚、小さい葉なら5枚使用する）,たっぷりの熱湯に2を入れ、浮いてきたら少しして上げる。,きな粉をつけて食べる。,,,,,8個分,FIN
38,高尾山だんご,もち米の粉,250g,上新粉,250g,よもぎ,100g,重曹,少々,お湯（40℃）,1カップ,あんこ・きなこ・えごま,,,,,,,,,,,,,,,,,,,,,,,,よもぎは洗って重曹を入れたお湯でゆで、水にさらし、あく抜きをする。,すり鉢などで１のよもぎをすりつぶす（切るだけでも良い）,ボールにもち米の粉と上新粉を入れ、お湯を少しずつ加えながら粉気がなくなるまで混ぜ耳たぶの固さにまでよくこねる。,蒸し器にぬれふきんをのせ、3をちぎって置き、20分蒸す。,蒸しあがったらボールにとり、熱いうちに2のよもぎを加えてつき、よくこねる。,団子が緑色になったら、手に水をつけて適当な大きさに丸め、好みによりあんこやきなこなどをつける。,,,約12個分,FIN
