id,レシピ名,材料1,数量1,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,材料12,数量12,材料13,数量13,材料14,数量14,材料15,数量15,材料16,数量16,材料17,数量17,材料18,数量18,材料19,数量19,材料20,数量20,材料21,数量21,手順1,手順2,手順3,手順4,手順5,手順6,手順7,手順8,手順9,手順10,手順11,手順12,手順13,手順14,手順15,ワンポイント,分量,FIN
11,米粉ニョッキのグラタン,（ニョッキ）じゃがいも,2個,米粉,50g,卵黄,1個,塩こしょう,,牛乳,1000cc,コンソメ,4g,米粉,250g,塩こしょう,2g,小松菜,1房,えび,8尾,鶏肉,100g,マイタケ,1房,パプリカ,2個,チーズ,50g,オリーブ油,20cc,白ワイン,30cc,,,,,,,,,,,じゃがいもを茹でる。茹でたじゃがいもをつぶす。米粉、塩こしょう、卵黄を加え一つにまとめる。,牛乳・コンソメ・塩こしょう・米粉を混ぜて火にかける。,小松菜を茹でる。フライパンにオリーブ油を熱し、えび、鶏肉、マイタケを入れ白ワインでソテーする。,1を一口大に丸め、ニョッキを茹でる。パプリカは縦に切り30秒レンジにかけ、器にする。,器に具材を盛り付け、チーズをのせて、チーズにこげ目がつくまでオーブンで焼く。,,,,,,,,,,,ホワイトソースのとろとろとニョッキのモチモチの食感が美味しい！,,FIN
12,地元の野菜で米粉DEポン,（トマト）米粉,200g,牛乳,80cc,トマトビューレ,130cc,サラダオイル,50cc,卵,約3個,粉チーズ,100g,（小松菜）米粉,200g,牛乳,80cc,小松菜ピューレ,130cc,サラダオイル,50cc,卵,約3個,粉チーズ,100g,,,,,,,,,,,,,,,,,,,鍋に牛乳とサラダオイル、野菜のビューレを火にかけ、沸騰させる。,1に米粉と粉チーズを入れてまぜる。,2に卵を溶いて加える。,天板に絞り、180℃に熱したオーブンで20分程焼く。,,,,,,,,,,,,野菜をピューレにして加えるので、嫌いな野菜も知らないうちに食べてくれます。他にかぼちゃでもできます。気軽に食べられるプチサイズに仕上げました。,2種分,FIN
13,野菜を食べる！もっちもちヂミ,米粉,200g,卵,2個,水,200cc,粉だし,小さじ2,ほうれん草,100g,ニラ,100g,人参,100g,コーン,100g,ごま油（焼き油用）,大さじ2,（たれ）ポン酢,大さじ3,ごま油,小さじ1,砂糖,小さじ1,いりごま,小さじ1,,,,,,,,,,,,,,,,,割りほぐした卵の中に、米粉・水・粉だしを入れ混ぜる。,ほうれん草は塩ゆでし、3cm位の大きさに切る。ニラも3cm位の長さに切る。人参は5cmの長さにピーラーで薄く削る。,1の中に2とコーンを入れ混ぜる。,熱したフライパンにごま油大さじ1をひき、3の半分を入れる。その時、薄く広げる。,ふたをして3分間中火で焼き、裏返して5分中火で焼く。その後ひっくり返しながら表面がきつね色になるまで焼く。,焼けたら皿に盛り、タレをつけながら食べる。,,,,,,,,,,とても簡単で、野菜を多く入れて子どものおやつやお酒のおつまみ、もちろん普段の食卓の1品として！！福井産ほうれん草も一緒に食べてもらう。中身の具をかえて、バリエーションも豊富。,,FIN
14,うまいんジャー！！,米粉,100g,小麦粉,100g,しょうが,1/2かけ,珍味（タコカマ）,20g,ウイスターソース,少々,水,200cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,米粉・小麦粉を半々にし、水でといて干切りしょうが、タコカマなど入れて混ぜる。,ウスターソースを少々入れ混ぜ、温めたフライパンにうすく油をのばして焼く。,,,,,,,,,,,,,,さきいかなど、お父さんのおつまみをちょっといただいて、簡単に作れます。,,FIN
15,えびととうがんのあんかけ,とうがん,800g,えび,8匹,人参,1/2本,いんげん豆,8本,うす口しょうゆ,大さじ2,みりん,大2,出し汁,2カップ,米粉,大さじ1.5,水,大さじ3,しょうがのしぼり汁,大さじ1,,,,,,,,,,,,,,,,,,,,,,,とうがんは半分に切って種を取り一口大に切って皮を取り、鍋に入れて10分程茹でておく。,えびは皮を取り、背わたも取って酒をふり、かるく茹でておく。,人参、いんげん豆は細いせん切りにする。,米粉は水でといておく。,鍋に出し汁を入れ、とうがんを入れて2時間程つけておき、その後中火にかけて5分程煮たらえびを入れ、さらに2～3分煮立てる。,5の煮汁を別に鍋に入れ、その中に人参、いんげんを入れて火にかけ1度煮立ったら火を止め、4の米粉汁としょうが汁を入れて煮立てる。,,,,,,,,,,米粉であんかけのとろみをつけました。,,FIN
16,じゃがいものおやき,米粉,100g,じゃがいも,2個,枝豆,大さじ3,とうがらしみそ,大さじ1,ごま油,適宜,（とうがらしみそ）こうじ,1升,とうがらし,1升,しょうゆ,1升,,,,,,,,,,,,,,,,,,,,,,,,,,,じゃがいもは皮をむいてすりおろす。,茹でた枝豆、米粉を1に混ぜる。8～12等分し、丸めて平くする。,フライパンにごま油をひいてカリッと焼く。,3にとうがらしみそをかけていただく。,（とうがらしみそ）とうがらしをフードカッターにかける。,すべての材料を鍋に入れてヘラでかき混ぜながら中火にかける。沸騰する前に火を止める。,冷めてから2を容器に移し、味がなじむまでおく。,,,,,,,,,じゃがいもを入れているのでもっちり！,,FIN
17,野菜たっぷりスペインオムレツ,越前みずな,80g,人参,40g,玉ねぎ,80g,ホールコーン,80g,ベーコン,4枚（48g）,卵,2個,牛乳,160cc,米粉,200g,ベーキングパウダー,5g,塩・こしょう,各少々,オリーブオイル（又、サラダ油・米油）,小さじ1/2,,,,,,,,,,,,,,,,,,,,,みずなはサッと熱湯に通し冷水に入れ、1cmの長さに切り水けを取る。人参は1cmの長さの薄切りにし、さっと茹で、水けを切る。玉ねぎは1cmの角切り、ベーコンも1cmの角切り。,卵はよく溶きほぐし、牛乳を加え、ゴムベラでよく混ぜる。,ボールに米粉、ベーキングパウダー・塩・こしょうを入れよく混ぜ、真ん中をくぼませ2を入れ混ぜる。,1のみずな、人参、玉ねぎ、ベーコン又ホールコーンを加え、ざっくりと混ぜ合わせる。,フライパンに油少々を入れ熱し、4の混ぜ合わせた具を玉じゅくし軽くいっぱい（8等分）をすくって丸く落とす。,弱火にしてふたをし、表面が乾くまで焼きこげ目をつけ、返して火を通す。,竹串を刺し焼き上がりを確かめ、皿に盛り、ケチャップなどでイニシャルなど入れれば楽しい。,,,,,,,,,野菜たっぷりでおやつに、夜食に。副菜にもなり、家庭で簡単に作れます。,,FIN
18,3色団子甘酢あんかけ,米粉,1カップ,片栗粉,大さじ2,豆乳,大さじ7,塩,小さじ1/3,砂糖,大3,人参,約25g,むかご,大さじ2,グリンピース（冷凍）,大さじ2,ねりごま（白）,大さじ2,すりごま（白）,大さじ1,（甘酢）砂糖,大さじ2,みりん,大さじ1,しょう油,大さじ2,酢,小さじ1,水,1カップ,片栗粉,適量,,,,,,,,,,,米粉1カップと片栗粉を合わせ、塩小さじ1/3うを入れて、豆乳を加えてよく混ぜ合わせ直径2cm位の団子を作る（6個位出来る）,人参は7mmの角切りにして、深みのある皿に入れ、ひたひたの水を入れて、塩少々、砂糖大さじ1を加えてレンジで約2分かけ、水を切っておく。,むかごは塩ゆでして7mm角位に刻み、ねりごま、すりごま、砂糖大さじ1を加え和えておく。グリンピースは湯通しして、塩ひとつまみかけておく。,米粉の団子を伸ばし、人参の刻んだもの、グリンピース、むかごのごま和え、それぞれを中に包んで蒸し器で10分程蒸す。,水1カップにみりん大さじ1、砂糖大さじ2、しょう油大さじ2、酢小さじ1を煮溶かし、水溶き片栗粉でとろみをつけ甘酢あんを作る。,野菜を包んだ団子に甘酢あんをかけて頂く。色どりに分量外のパセリのみじん切りを散らす。,,,,,,,,,,人参やグリンピース、むかごなど色々な野菜の食感と彩りが楽しめます。,2人分,FIN
19,米粉豆腐の香味葱ソース掛け,（A）豆乳,300cc,米粉,30g,塩,少々,豚ローススライス,200g,（B）米粉,100g,お湯,80cc,塩,少々,にんにく（みじん切り）,10g,生姜（みじん切り）,10g,葱（しらがねぎ）,1/2本,たかのつめ,1本,水,200cc,醤油,60cc,酢,30cc,みりん,20cc,砂糖,10g,ごま油,30cc,水溶き米粉,適量,,,,,,,Aの材料を合わせ、鍋に入れ火かける。ねっとりし、米粉の粉っぽさがなくなったら型に入れ冷やす。,Bを合わせて練り8等分し、めん棒で薄く伸ばす。,冷えた1を型から出し、8等分にカットして豚ロースを巻いて2で包み揚げ焼きする。,フライパンにごま油を熱し、にんにく、生姜。たかのつめを炒め、香りが出てきたら葱と残りの調味料を入れ煮立ってきたら水溶き米粉を入れてとろみをつける。,器に盛り、4のソースをかけ旬の野菜など盛りつけて完成。,,,,,,,,,,,中はもちっと外はパリッと食感も楽しめます。,,FIN
20,嫌いなものだって食べれちゃう魔法のソース,米粉,40g,牛乳,500cc,コンソメ,1個,塩,ひとつまみ,マーガリン,20g,こしょう,少々,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鍋に米粉と牛乳を入れてよく混ぜてから火にかけます。火にかけている時はしっかりかき混ぜます。温まってきたらコンソメを入れ、溶かします。,塩とマーガリンも入れてヘラでかき混ぜながら煮詰めてトロッとしてきたら、こしょうを少々ふり出来上がり。,季節の野菜や旬のお魚をお皿に盛って、ホワイトソースをかけ、とろけるチーズをたっぷりのせて焼けば超オイシー。ケチャップご飯にのせて焼けばドリアもOK。,,,,,,,,,,,,,子供はホワイトソースが大好きなので、苦手な野菜が入ってても食べられちゃう不思議なソースなんですよね。,4人分,FIN
21,もっちり☆ニョッキ,米粉,150g,じゃがいも,200g,お湯（混ぜる時用）,100cc,塩（茹でる時用）,適量,お湯（茹でる時用）,適量,（コンソメスープ）人参,50g,玉ねぎ,100g,コーン,50g,水,600cc,コンソメスープの素,2.5個,,,,,,,,,,,,,,,,,,,,,,,茹でたじゃがいもをつぶし、米粉とお湯を入れてよく混ぜる。,棒状に形式後、一口大の大きさに切りわけ、丸めてフォークの背で型をつける。,塩を入れたお湯で茹で、浮いてきたら取り出して完成。,コンソメスープなどに入れて食べるとおいしい。,,,,,,,,,,,,もっちりしているので食べごたえがあり、スープの具として大活躍！！子どもと一緒に楽しみながら作れる。今回はコンソメスープの具としました。沢山作って、作りおきしておくと便利。,4人分,FIN
22,きく団子入りこづゆ,米粉,100g,絹豆腐,100g,片栗粉,10g,茹で食用菊,1.5g,干ししいたけ,4枚,しらたき,100g,人参,100g,大根,100g,里芋,300g,しめじ,1/2カップ,出し汁,4カップ,塩,少々,酒,大さじ2,うす口しょうゆ,大さじ2,,,,,,,,,,,,,,,干ししいたけは水に戻してうす切りにする。戻し汁は残しておき、出し汁と共に使う。,しらたきは3cmの長さに切り、熱湯でさっと茹でザルに上げておく。,人参・大根・里芋は皮をむき、1cm厚さのいちょう切りにして熱湯で約10分茹でる。,米粉・豆腐・片栗粉をボールの中でよく混ぜ、こね、さらに食用菊を入れて混ぜて生地を作り12個に丸めておく。,鍋に出し汁（しいたけの戻し汁も加えたもの）を入れ、しいたけ、しらたきを入れ中火にかけアクが出たらアクを取る。,人参・大根・里芋・団子を入れて調味料のうす口しょうゆ、酒で味付けし、しめじを加え中火で5分間煮立て塩で味を整える。,,,,,,,,,,絹豆腐入りの団子はもっちりやわらかいです。,4人分,FIN
23,さつまいもの団子っ子,さつまいも,700g,米粉,200g,黒砂糖,100g,人参,50g,ごぼう,50g,うす揚げ,1枚,三つ菜,適量,出し汁,1500cc,味噌,150g,,,,,,,,,,,,,,,,,,,,,,,,,人参、ごぼうは細かい乱切り、短冊切りにしたうす揚げと味噌を加え出し汁で煮る。,さつまいもは皮をむき、茹でてつぶし2等分にわける。,半分を鍋にかけ黒砂糖を入れてよく練る。冷めたら16等分にする。,残りの半分に米粉を少しずつ加えてこねる。耳たぶ程度の硬さになったら16等分にして伸ばし、3を包み形を整える。,沸騰した1に4を入れて浮き上がったら器に盛り、三つ葉を散らす。,,,,,,,,,,,米粉でとろみがついて、冷めにくい汁物です。,,FIN
24,野菜畑のだんご仲間和風スープ,米粉,100g,もち粉,100g,人参,100g,かぼちゃ,100g,ブロッコリー,100g,枝豆,100g,豆腐,100g,長いも,500g,玉ねぎ,,オクラ,,（和風スープ）本だし・白だし,,,,,,,,,,,,,,,,,,,,,,長いも、野菜は下ゆでしておく。野菜と豆腐はそれぞれ100gと、ともにフードプロセッサーにかける,米粉各20g・もち粉各20gを野菜と豆腐に加えて、こね合わせる。塩少々混ぜる。,適当なやわらかさになったらまるめて、たっぷりのお湯で茹でる。団子ができあがる。,スープは玉ねぎをみじん切りにし、水に入れた鍋に本だし、オクラのスライスを入れ沸騰したらアクを取り、白だし他で調味し和風スープを作り、そこに野菜畑のだんごを入れる。,,,,,,,,,,,,野菜の優しい色どりが楽しいスープです。,,FIN
25,黒米ごはんまんじゅう,米粉,200g,砂糖,大さじ1,ベーキングパウダー,小さじ1,ぬるま湯,150cc,えごま,大さじ1,黒米（炊いたもの）,120g,うるち米（炊いたもの）,120g,塩,少々,,,,,,,,,,,,,,,,,,,,,,,,,,,米粉とベーキングパウダーを混ぜ合わせておく。,ぬるま湯をつくっておく。,うるち米に黒米を混ぜ炊いておく。（3合に黒米大さじ1の割合）,ボールに米粉、砂糖を入れ、ぬるま湯を徐々に加えながら、耳たぶくらいの硬さにする。,手で生地をこね、えごまを練り込む。粉っぽさがなくなったら一つにまとめて、ラップをしてねかせておく。（10分位）,生地を6等分にして、麺棒で、まるくのばし、黒米ごはんをまるくまとめて入れて、包む。,紙カップにまんじゅうを入れ、蒸気の上がった蒸し器に入れ、強火で20分蒸しあげる。,,,,,,,,,プチプチした歯ごたえと、ほんのり塩味が新鮮なおまんじゅうです。,,FIN
26,米っ子でミートパイ,玉ねぎ,1/2個,マイタケ,50g,ピーマン,2個,なすび,1個,合挽肉,300g,にんにく,1かけ,越のルビー,6個,塩・こしょう,少々,プロセスチーズ,50g,米粉,大さじ3,コンソメスープの素,1/2カップ,トマトケチャップ,1/3カップ,ウスターソース,少々,ご飯,150g×2,卵,25g×2,米粉,大さじ2×2,,,,,,,,,,,玉ねぎ・マイタケ・ピーマン・なすびを細かく切って、油で炒め塩・こしょうする。,ご飯150g、卵25g、米粉大さじ2を混ぜ合わせ、フライパンで焼いておく。（この動作を2回）,1に合挽肉とプロセスチーズ、米粉大さじ3、コンソメスープの素、トマトケチャップ、ウスターソースを入れ、充分に練る。,2をパイ皿にして3を詰め込む。上から2をもう1枚被せる。越のルビートマトを配置よく並べる。,200℃に熱したオーブンで25～30分焼く。,出来上がり。,,,,,,,,,,ご飯と米粉でパイ生地のかわりに！,,FIN
27,秋の色どりおやき,（生地1個分）米粉,40g,片栗粉,20g,砂糖,10g,水,少々,牛乳,少々,（餡）かぼちゃ,,菜花,,さつまいも,,ナス,,青豆,,塩,少々,,,,,,,,,,,,,,,,,,,,,米粉・片栗粉・砂糖・牛乳を水で耳たぶくらいのかたさに練り、丸めてしばらくねかす。,できた生地の中にそれぞれ一品づつ餡を包む。,蒸気のあがった蒸し器で皮がやわらかくなるまで蒸す。,（餡）かぼちゃ、やわらかくなるまで蒸し、皮をむいてフォークでつぶし、塩少々を入れ丸める。,菜花、塩少々を入れた水で茹で、みじん切り。すりつぶした梅干しも好みで入れて一緒に丸める。,さつまいも、やわらかくなるまで蒸し、皮をむいて塩少々を入れつぶし丸める。,ナス、蒸してみじん切りにし、塩少々を加え丸める。,青豆、皮（さや）ごと塩茹でし豆を取り出し薄皮をむいてミキサーにかけ丸める。（すり鉢ですってもよい）,,,,,,,,さめたらフライパンで少し焼いてもおいしいです。,,FIN
28,1プレートでおかずとデザートシューグラタンとシュークリーム,（シュー生地）米粉,70g,グラニュー糖,ひとつまみ,塩,ひとつまみ,卵,2～3個,バター（無塩）,50g,水,100cc,カスタードクリーム,,（グラタン）ベーコン,5枚,玉ねぎ,中1個,ほうれん草,1/2束,かぼちゃ,小1/2個,牛乳,500cc,米粉,大さじ4,オリーブオイル,適宜,塩・こしょう,適宜,,,,,,,,,,,,,（シュー生地）鍋にバター・グラニュー糖・塩・水を入れ、強めの中火にかけ木べらで混ぜる。バターが溶けて煮立ったら火からおろし、米粉を一気に入れて混ぜる。,カスタードクリームで使わない卵白を混ぜる。溶き卵で堅さを調節。,オーブンに絞り出して焼く。（5～6cm間隔で3cmと2cmくっつけた形）200℃で15分。ふくらむまで焼くが焼きあげない。,（グラタン）具材を一口サイズに切りオリーブオイルでさっと炒める。塩こしょうで味を整え、牛乳を入れて煮る。ぐつぐつ煮立ってきたら米粉でとろみをつけ、シュー生地に入れて焼く。,シュー生地の大きい方を切ってグラタン種を入れ、オーブン200℃で15分焼く。,小さい方は取り出してからカスタードクリーム絞り込む。,,,,,,,,,,シュー生地があれば、幅広く活用できます。,5人分,FIN
29,米粉でなめらかカスタード,コーンスターチ,2g,卵黄,1個分,砂糖,35g,バター,適宜,米粉,8g,牛乳,100cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鍋の中に牛乳と1/2量の砂糖を入れ、弱火で沸騰させる。,卵黄を泡だて器で溶きほぐしてから、残りの砂糖1/2量を加えて混ぜ合わせる。,米粉とコーンスターチを合わせてふるい、2のボールに加えて全体が白っぽくなるまでよく混ぜる。,1が沸騰したら火を止めて1/4量くらいを3のボールに少しずつ入れて混ぜる。（熱い牛乳を一度入れると卵が固まってしまうので注意する。,1の鍋を弱火にかけ、泡だて器でかき混ぜながら4を少しずつ入れていく。,5の鍋を木しゃもじでかき混ぜながら、弱火で煮ていく。鍋の底が焦げつかないように、木しゃもじで鍋の底をこすりつけるようにしながら混ぜる。,沸騰して、したからぶくぶく言ってきてから、もう少しかき混ぜながら煮る。,滑らかなカスタードクリームのできあがり。,そのままにしておくと表面が乾いて膜が張ったようになるので、表面にバターを塗っておく。（または上から軽く砂糖をふっておく。）,,,,,,,使わない卵白はシュー生地に使いましょう。,,FIN
